2024-06-05 19:29:47,089 INFO: ------------------------------------------------------------------------------------------------------------------------
2024-06-05 19:29:47,090 INFO: Starting processing.
2024-06-05 19:29:47,090 INFO: Loading tweets.
2024-06-05 19:29:47,689 INFO: 061854 tweets have being loaded.
2024-06-05 19:29:47,690 INFO: Processing tweets.
2024-06-05 19:29:47,692 INFO:     Preprocessing texts.
2024-06-05 20:13:06,826 INFO:     Data embedded succesfully.
2024-06-05 20:13:06,828 INFO:        + Number of iterations: 33149
2024-06-05 20:13:06,828 INFO:        + Kullback-Leibler divergence: 2.9065017700195312
2024-06-05 20:13:06,840 INFO: Performing PCA_TSNE model.
2024-06-05 20:13:06,841 INFO:     Searching for optim value of components.
2024-06-05 20:13:06,841 INFO:     Initializing PCA model with parameters:
2024-06-05 20:13:06,842 INFO:        - n_components = 600
2024-06-05 20:13:06,843 INFO:        - svd_solver = auto
2024-06-05 20:13:06,843 INFO:        - seed = 1712
2024-06-05 20:13:06,844 INFO:     Embedding data with PCA model.
2024-06-05 20:14:18,650 INFO:     Data embedded succesfully.
2024-06-05 20:14:18,652 INFO:     Computing cumulative variance ratios.
2024-06-05 20:14:18,653 INFO:     Selecting as candidates those which have cumulative variance ratio between 0.04 and 0.1.
2024-06-05 20:14:18,654 INFO:     Choosing optim value among [5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].
2024-06-05 20:14:24,638 INFO:        + K-Means with 05 components gets 0.00625 of silhouette score.
2024-06-05 20:14:30,281 INFO:        + K-Means with 06 components gets 0.00826 of silhouette score.
2024-06-05 20:14:36,019 INFO:        + K-Means with 07 components gets 0.01709 of silhouette score.
2024-06-05 20:14:41,911 INFO:        + K-Means with 08 components gets 0.01357 of silhouette score.
2024-06-05 20:14:48,533 INFO:        + K-Means with 09 components gets 0.01771 of silhouette score.
2024-06-05 20:14:55,142 INFO:        + K-Means with 10 components gets 0.02202 of silhouette score.
2024-06-05 20:15:01,690 INFO:        + K-Means with 11 components gets 0.01454 of silhouette score.
2024-06-05 20:15:08,473 INFO:        + K-Means with 12 components gets 0.01613 of silhouette score.
2024-06-05 20:15:15,969 INFO:        + K-Means with 13 components gets 0.01594 of silhouette score.
2024-06-05 20:15:23,329 INFO:        + K-Means with 14 components gets 0.01798 of silhouette score.
2024-06-05 20:15:30,971 INFO:        + K-Means with 15 components gets 0.01806 of silhouette score.
2024-06-05 20:15:38,294 INFO:        + K-Means with 16 components gets 0.02576 of silhouette score.
2024-06-05 20:15:45,155 INFO:        + K-Means with 17 components gets 0.02280 of silhouette score.
2024-06-05 20:15:52,071 INFO:        + K-Means with 18 components gets 0.02794 of silhouette score.
2024-06-05 20:15:59,835 INFO:        + K-Means with 19 components gets 0.02744 of silhouette score.
2024-06-05 20:16:08,732 INFO:        + K-Means with 20 components gets 0.02597 of silhouette score.
2024-06-05 20:16:18,610 INFO:        + K-Means with 21 components gets 0.02268 of silhouette score.
2024-06-05 20:16:26,454 INFO:        + K-Means with 22 components gets 0.02705 of silhouette score.
2024-06-05 20:16:35,485 INFO:        + K-Means with 23 components gets 0.02572 of silhouette score.
2024-06-05 20:16:44,824 INFO:        + K-Means with 24 components gets 0.02926 of silhouette score.
2024-06-05 20:16:54,024 INFO:        + K-Means with 25 components gets 0.02791 of silhouette score.
2024-06-05 20:16:54,026 INFO:     Optim value of PCA is 24.
2024-06-05 20:16:54,027 INFO:     Building PCA model with parameters:
2024-06-05 20:16:54,028 INFO:        - n_components = 24
2024-06-05 20:16:54,030 INFO:        - svd_solver = auto
2024-06-05 20:16:54,032 INFO:        - seed = 1712
2024-06-05 20:16:54,033 INFO:     Embedding data with PCA model.
2024-06-05 20:17:04,657 INFO:     Building TSNE (execution 0) model with parameters:
2024-06-05 20:17:04,659 INFO:        - n_components = 2
2024-06-05 20:17:04,660 INFO:        - init = pca
2024-06-05 20:17:04,662 INFO:        - perplexity = 40
2024-06-05 20:17:04,663 INFO:        - early_exageration = 25.0
2024-06-05 20:17:04,664 INFO:        - learning_rate = 500
2024-06-05 20:17:04,666 INFO:        - n_iter = 100000
2024-06-05 20:17:04,667 INFO:        - n_iter_without_progress = 1000
2024-06-05 20:17:04,669 INFO:        - n_jobs = -1
2024-06-05 20:17:04,670 INFO:        - random_state = 1712
2024-06-05 20:17:04,671 INFO:        - verbose = 0
2024-06-05 20:17:04,672 INFO:     Embedding data with TSNE model.
2024-06-05 20:59:19,591 INFO:     Data embedded succesfully.
2024-06-05 20:59:19,592 INFO:        + Number of iterations: 58099
2024-06-05 20:59:19,593 INFO:        + Kullback-Leibler divergence: 1.0270917415618896
2024-06-05 20:59:19,688 INFO: Creating scatterplot chart.
2024-06-05 20:59:23,853 INFO: Saving embedded data.
2024-06-05 20:59:24,591 INFO: Dimenionality reduction finished.
2024-06-05 20:59:24,592 INFO: ------------------------------------------------------------------------------------------------------------------------
2024-06-05 20:59:30,994 INFO: ------------------------------------------------------------------------------------------------------------------------
2024-06-05 20:59:30,995 INFO: Starting clustering with k = 10 fixed.
2024-06-05 20:59:30,996 INFO: Loading tfidfs embedded.
2024-06-05 20:59:31,565 INFO: 030000 tfidfs embedded have being loaded.
2024-06-05 20:59:31,566 INFO: Prepararing dataframes to store the results.
2024-06-05 20:59:31,593 INFO: Dataframes prepared.
2024-06-05 20:59:31,594 INFO: Classificating PCA-embedded data.
2024-06-05 20:59:31,604 INFO:    Performing KMEANS classification.
2024-06-05 20:59:31,605 INFO:       Building KMEANS classification model with parameters:
2024-06-05 20:59:31,607 INFO:          - n_clusters = 10
2024-06-05 20:59:31,608 INFO:          - init = k-means++
2024-06-05 20:59:31,609 INFO:          - n_init = 10
2024-06-05 20:59:31,610 INFO:          - random_state = 1712
2024-06-05 20:59:31,611 INFO:       Classificating data with KMEANS model.
2024-06-05 20:59:33,097 INFO:       Data classificated succesfully.
2024-06-05 20:59:35,595 INFO:          + The KMEANS classification obtained 0.5063224118182631 of silhouette coeficient.
2024-06-05 20:59:35,623 INFO:    Performing AGLO classification.
2024-06-05 20:59:35,624 INFO:       Building AGLO classification model with parameters:
2024-06-05 20:59:35,625 INFO:          - n_clusters = 10
2024-06-05 20:59:35,627 INFO:          - linkage = ward
2024-06-05 20:59:35,628 INFO:          - random_state = 1712
2024-06-05 20:59:35,629 INFO:       Classificating data with AGLO model.
2024-06-05 20:59:37,941 INFO:       Data classificated succesfully.
2024-06-05 20:59:39,527 INFO:          + The AGLO classification obtained 0.41878543370497856 of silhouette coeficient.
2024-06-05 20:59:39,529 INFO:    Performing GMIXT classification.
2024-06-05 20:59:39,531 INFO:       Building GMIXT classification model with parameters:
2024-06-05 20:59:39,532 INFO:          - n_clusters = 10
2024-06-05 20:59:39,533 INFO:          - covariance_type = full
2024-06-05 20:59:39,534 INFO:          - init_params = kmeans
2024-06-05 20:59:39,535 INFO:          - max_iter = 100000
2024-06-05 20:59:39,536 INFO:          - random_state = 1712
2024-06-05 20:59:39,537 INFO:       Classificating data with GMIXT model.
2024-06-05 20:59:39,886 INFO:       Data classificated succesfully.
2024-06-05 20:59:41,829 INFO:          + The GMIXT classification obtained 0.3907662245733128 of silhouette coeficient.
2024-06-05 20:59:41,832 INFO:    The best classification for PCA-embedded data is KMEANS.
2024-06-05 20:59:41,833 INFO:       Building KMEANS classification model with parameters:
2024-06-05 20:59:41,834 INFO:          - n_clusters = 10
2024-06-05 20:59:41,835 INFO:          - init = k-means++
2024-06-05 20:59:41,836 INFO:          - n_init = 10
2024-06-05 20:59:41,837 INFO:          - random_state = 1712
2024-06-05 20:59:41,838 INFO:       Classificating data with KMEANS model.
2024-06-05 20:59:43,306 INFO:       Data classificated succesfully.
2024-06-05 20:59:43,307 INFO:    Rearranging labels to maximize the accuracy.
2024-06-05 20:59:46,994 INFO:       + The PCA-embedded data classification obtained 0.5063224118182631 of silhouette coeficient.
2024-06-05 20:59:46,996 INFO:       + The PCA-embedded data classification obtained 0.2852 of accuracy.
2024-06-05 21:00:00,409 INFO: Classificating TSNE-embedded data.
2024-06-05 21:00:00,424 INFO:    Performing KMEANS classification.
2024-06-05 21:00:00,425 INFO:       Building KMEANS classification model with parameters:
2024-06-05 21:00:00,426 INFO:          - n_clusters = 10
2024-06-05 21:00:00,428 INFO:          - init = k-means++
2024-06-05 21:00:00,429 INFO:          - n_init = 10
2024-06-05 21:00:00,429 INFO:          - random_state = 1712
2024-06-05 21:00:00,430 INFO:       Classificating data with KMEANS model.
2024-06-05 21:00:02,004 INFO:       Data classificated succesfully.
