"";"full_text"
"108";"Después de haber vivido la caída de Lehman Brothers, la elección de Trump, la pandemia o la Guerra de Ucrania, aquí me tienes. Completamente convencido de que no va a pasar absolutamente nada con Twitter y completamente reacio a Mastodon o cualquier otro sucedáneo."
"109";"Hosteltur nos trae las últimas noticias en el mundo del turismo hosteltur: Ucrania ofrecerá escenarios de la guerra como destinos turísticos https://t.co/HitE9J0fWg"
"110";"@AnaGudenian Si quiere ser de primera categoría que declare la guerra a China y USA, las otras 2 potencias mundiales y deje en paz al resto de europeos a los que su lucha por el poder no nos importa.Que salga de Ucrania y lance un misil a Pekin o Nueva York, e inicie una guerra"
"111";"Laura de Chiclana llegó a la frontera de Ucrania con una mochila al hombro, sin casco, sin chaleco antibalas, y preparada para ir a fondo  https://t.co/f1SrBaqVud"
"112";"Extranjeros en la primera línea de combate   https://t.co/xhXFJmkecv"
"113";"@gisbert_ruben Pues yo creo que ha podido ser Ruso (lógico en una guerra.. se ha podido escapar)
Pero la OTAN se ha hecho caquita,y prefieren decir que ha sido Ucrania,y dejar tirado a Zelenski.
Y ha sudo Ucrania,no tiene responsabilidades?
Y esa gente que ha muerto?.."
"114";"Guerra Ucrania - Rusia, última hora hoy en directo: Chomsky revela el nuevo plan de Putin - AS

Fecha: 18 Nov 2022 08:36
Fuente: https://t.co/wsMwZOYGC4

Guerra Ucrania Rusia by @guerreucrainarusia
A @grttme project - Other backups: @ourtgme via https://t.co/7f18o3b25U #guerra… https://t.co/0oVzpUtDsw"
"115";"@UKR_token No entiendo el fin de esta guerra, llamadme ignorante…que pretende rusia? Cual es el fin? Destruir por destruir Ucrania? Incorporarla a su territorio?"
"116";"@RusiaSeMueve La guerra es una mierda, y los crímenes de guerra más todavía. Da igual quién los cometa (Ucrania o Rusia) habría que investigarlos y castigar a los culpables. Mucho HDLGP en cualquier bando en cualquier guerra. Incluyó a los cascos azules!!!"
"117";"@enricm2 @namela7919 Que Zelensky haya intentado meternos desde el minuto uno a toda Europa y Norteamérica en la Tercera Guerra Mundial no cuenta.
El apoyo a Ucrania o Rusia de cada país depende principalmente de intereses económicos"
"118";"@MabelHope13 @Bettyvt @namela7919 Tienes que ver también los antecedentes. Desde 2014 hay una guerra en el este de Ucrania. Donetsk Dombass. Territorios con un 99% de población que se siente rusa y Ucrania quería impedir a toda costa su independencia"
"119";"@PetroEsPueblo XD la guerra de Ucrania lleva desde febrero y el covid hace 2 años, en dos años el dólar aumentó 1000 pesos, llega Petro que lleva como dos meses y suma otros 1000, pero no, la culpa es del mundo no de Petro, mejor siga en el porno que de la economía solo se sabe la palabra."
"120";"Guerra Ucrania - Rusia, última hora en directo | Zelenski denuncia que más de 10 millones de ucranianos no tienen luz tras los ataques rusos
#123INFO
https://t.co/DcpnU2rv6J"
"121";"#Mundo|| El frío invernal comienza a sentirse en una #Ucrania sin energía. Más de 10 millones de ciudadanos están a oscuras y sin calefacción debido a los constantes ataques de #Rusia hacia las infraestructuras energéticas del país. #Guerra
https://t.co/FxqWHhdxv0"
"122";"<U+27A1><U+FE0F> Laura de Chiclana, la corresponsal española que lleva 8 meses en Ucrania: ""Sé que puedo morir pero no me arrepiento; esto es mi vida"" (Vía @elprogramadear)   https://t.co/4PeFOLWJNc"
"123";"@FisicoImpuro XD la guerra de Ucrania lleva desde febrero y el covid hace 2 años, en dos años el dólar aumentó 1000 pesos, llega Petro que lleva como dos meses y suma otros 1000, pero no, la culpa es del mundo no de Petro, mejor siga en el porno que de la economía solo se sabe la palabra."
"124";"La selección de Polonia viene a Qatar escoltada por bombarderos F-16 por “motivos de seguridad nacional” después de que hace unos días dos misiles rusos impactaran en una granja Polaca matando a dos personas por la guerra con Ucrania. https://t.co/o4cYM8TovV"
"125";".@Laura_chiclana lleva ocho meses cubriendo la guerra en Ucrania: ""Elijo quedarme, esto es mi vida""

https://t.co/gFiOXOkcY2"
"126";"LaNación | Macron recalca ante líderes de países de Asia-Pacífico que la guerra en Ucrania ""también es su problema"" https://t.co/XgzeaiRVxp"
